sssom_subject_id	sssom_subject_label	sssom_subject_category	sssom_predicate_id	sssom_object_id	sssom_object_label	sssom_object_category	sssom_mapping_justification	sssom_author_id	sssom_author_label	sssom_reviewer_id	sssom_reviewer_label	sssom_creator_id	sssom_creator_label	sssom_subject_type	sssom_object_type	sssom_mapping_date	sssom_object_match_field	sssom_comment	semapv_RegexRemoval	object_source_version	object_url	subject_url	object_namespace
mids:QuantitativeLocation	Quantitative Location	mids:MIDS2	skos:exactMatch	dwc:locationID	Location ID	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1274	Mathias Dillen	rdf property	rdf property	2023-09				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/locationID	https://tdwg.github.io    /mids-reorganization/information-elements#QuantitativeLocation	dwc
mids:QuantitativeLocation	Quantitative Location	mids:MIDS2	owl:intersectionOf	dwc:decimalLatitude	Decimal Latitude	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1275	Mathias Dillen	rdf property	rdf property	2023-09				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/decimalLatitude	https://tdwg.github.io    /mids-reorganization/information-elements#QuantitativeLocation	dwc
mids:QuantitativeLocation	Quantitative Location	mids:MIDS2	owl:intersectionOf	dwc:decimalLongitude	Decimal Longitude	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1276	Mathias Dillen	rdf property	rdf property	2023-09	dwc:decimalLatitude|dwc:decimalLongitude	All properties in object_match_field need to be present		http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/decimalLongitude	https://tdwg.github.io    /mids-reorganization/information-elements#QuantitativeLocation	dwc
mids:QuantitativeLocation	Quantitative Location	mids:MIDS2	skos:narrowMatch	dwc:footprintWKT	Footprint WKT	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1280	Mathias Dillen	rdf property	rdf property	2023-09				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/footprintWKT	https://tdwg.github.io    /mids-reorganization/information-elements#QuantitativeLocation	dwc
mids:GeologicalContext	Geological Context	mids:MIDS2	skos:narrowMatch	dwc:earliestAgeOrLowestStage	Earliest Age Or Lowest Stage	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2023-09-13				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/earliestAgeOrLowestStage	https://tdwg.github.io    /mids-reorganization/information-elements#GeologicalContext	dwc
mids:GeologicalContext	Geological Context	mids:MIDS2	skos:narrowMatch	dwc:earliestEonOrLowestEonothem	Earliest Eon Or Lowest Eonothem	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2023-09-13				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/earliestEonOrLowestEonothem	https://tdwg.github.io    /mids-reorganization/information-elements#GeologicalContext	dwc
mids:GeologicalContext	Geological Context	mids:MIDS2	skos:narrowMatch	dwc:earliestEpochOrLowestSeries	Earliest Epoch Or Lowest Series	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2023-09-13				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/earliestEpochOrLowestSeries	https://tdwg.github.io    /mids-reorganization/information-elements#GeologicalContext	dwc
mids:GeologicalContext	Geological Context	mids:MIDS2	skos:narrowMatch	dwc:earliestEraOrLowestErathem	Earliest Era Or Lowest Erathem	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2023-09-13				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/earliestEraOrLowestErathem	https://tdwg.github.io    /mids-reorganization/information-elements#GeologicalContext	dwc
mids:GeologicalContext	Geological Context	mids:MIDS2	skos:narrowMatch	dwc:earliestPeriodOrLowestSystem	Earliest Period Or Lowest System	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2023-09-13				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/earliestPeriodOrLowestSystem	https://tdwg.github.io    /mids-reorganization/information-elements#GeologicalContext	dwc
mids:GeologicalContext	Geological Context	mids:MIDS2	skos:narrowMatch	dwc:latestAgeOrHighestStage	Latest Age Or Highest Stage	dwc:GeologicalContext	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-5669-2769	Sam Leeflang	rdf property	rdf property	2023-09-13				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/latestAgeOrHighestStage	https://tdwg.github.io    /mids-reorganization/information-elements#GeologicalContext	dwc
